date,Affection,Anger,Contempt,Depression,Fear,Happiness,Satisfaction,phase
2022-10-01,0.5,,,,,,0.5,Cluster 1
2022-10-02,0.2857142857142857,,,,0.2857142857142857,0.42857142857142855,,Cluster 2
2022-10-03,0.4266666666666667,0.08,,0.06666666666666667,0.17333333333333334,0.08,0.17333333333333334,Cluster 1
2022-10-04,0.13559322033898305,0.05084745762711865,,0.03389830508474576,0.2033898305084746,0.15254237288135594,0.423728813559322,Cluster 3
2022-10-05,0.2682926829268293,0.0975609756097561,,0.04878048780487805,0.2682926829268293,0.0975609756097561,0.21951219512195122,Cluster 3
2022-10-06,0.20555555555555555,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.25555555555555554,0.08888888888888889,0.25555555555555554,Cluster 3
2022-10-07,0.20298507462686566,0.08358208955223881,0.023880597014925373,0.03880597014925373,0.2865671641791045,0.1791044776119403,0.18507462686567164,Cluster 3
2022-10-08,0.2746478873239437,0.056338028169014086,0.014084507042253521,0.028169014084507043,0.2535211267605634,0.1267605633802817,0.24647887323943662,Cluster 3
2022-10-09,0.1619047619047619,0.05714285714285714,,0.01904761904761905,0.42857142857142855,0.09523809523809523,0.23809523809523808,Cluster 4
2022-10-10,0.2962962962962963,0.14814814814814814,,0.07407407407407407,0.2037037037037037,0.16666666666666666,0.1111111111111111,Cluster 2
2022-10-11,0.16176470588235295,0.11764705882352941,0.014705882352941176,0.058823529411764705,0.22058823529411764,0.125,0.3014705882352941,Cluster 3
2022-10-12,0.19402985074626866,0.13432835820895522,0.014925373134328358,0.04477611940298507,0.373134328358209,0.09701492537313433,0.1417910447761194,Cluster 4
2022-10-13,0.2468354430379747,0.11075949367088607,0.0379746835443038,0.06645569620253164,0.20569620253164558,0.16772151898734178,0.16455696202531644,Cluster 2
2022-10-14,0.3191489361702128,0.1702127659574468,0.03404255319148936,0.01702127659574468,0.1829787234042553,0.11914893617021277,0.1574468085106383,Cluster 2
2022-10-15,0.2740740740740741,0.08888888888888889,0.014814814814814815,0.044444444444444446,0.22962962962962963,0.1259259259259259,0.2222222222222222,Cluster 3
2022-10-16,0.19101123595505617,0.14606741573033707,0.033707865168539325,0.09550561797752809,0.20224719101123595,0.14606741573033707,0.1853932584269663,Cluster 2
2022-10-17,0.14007782101167315,0.0311284046692607,0.01556420233463035,0.11673151750972763,0.29961089494163423,0.22568093385214008,0.17120622568093385,Cluster 3
2022-10-18,0.16538461538461538,0.08461538461538462,0.023076923076923078,0.1,0.3423076923076923,0.1346153846153846,0.15,Cluster 3
2022-10-19,0.2411764705882353,0.058823529411764705,0.03529411764705882,0.047058823529411764,0.37058823529411766,0.11764705882352941,0.12941176470588237,Cluster 4
2022-10-20,0.22608695652173913,0.06956521739130435,0.034782608695652174,0.05217391304347826,0.2782608695652174,0.21739130434782608,0.12173913043478261,Cluster 3
2022-10-21,0.13679245283018868,0.07547169811320754,0.018867924528301886,0.0660377358490566,0.22169811320754718,0.20754716981132076,0.27358490566037735,Cluster 3
2022-10-22,0.2755102040816326,0.11564625850340136,0.013605442176870748,0.04421768707482993,0.1292517006802721,0.1598639455782313,0.2619047619047619,Cluster 2
2022-10-23,0.29206963249516443,0.09284332688588008,0.02321083172147002,0.027079303675048357,0.13926499032882012,0.12379110251450677,0.30174081237911027,Cluster 1
2022-10-24,0.24113475177304963,0.06028368794326241,0.028368794326241134,0.07446808510638298,0.2553191489361702,0.13829787234042554,0.20212765957446807,Cluster 3
2022-10-25,0.19281045751633988,0.058823529411764705,,0.09477124183006536,0.38235294117647056,0.10457516339869281,0.16666666666666666,Cluster 4
2022-10-26,0.05714285714285714,0.2,,,0.45714285714285713,0.05714285714285714,0.22857142857142856,Cluster 4
2022-10-27,0.30434782608695654,0.08695652173913043,,0.13043478260869565,0.21739130434782608,,0.2608695652173913,Cluster 1
2022-10-28,0.3448275862068966,0.06896551724137931,,,0.13793103448275862,0.13793103448275862,0.3103448275862069,Cluster 1
2022-10-29,,0.2222222222222222,,0.2222222222222222,0.4444444444444444,,0.1111111111111111,Cluster 4
2022-10-30,0.15384615384615385,0.07692307692307693,,0.038461538461538464,0.34615384615384615,0.15384615384615385,0.23076923076923078,Cluster 3
2022-10-31,0.2857142857142857,,,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.2857142857142857,Cluster 2
2022-11-01,0.14285714285714285,0.03571428571428571,,0.03571428571428571,0.7142857142857143,,0.07142857142857142,Cluster 4
2022-11-02,0.375,0.125,,,0.1875,0.3125,,Cluster 2
2022-11-03,0.16666666666666666,0.16666666666666666,,,0.5,0.16666666666666666,,Cluster 4
2022-11-04,,,,,0.2857142857142857,0.2857142857142857,0.42857142857142855,Cluster 3
2022-11-05,0.26666666666666666,,,0.13333333333333333,0.4666666666666667,0.13333333333333333,,Cluster 4
2022-11-06,,,,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.2222222222222222,Cluster 3
2022-11-07,0.3783783783783784,0.16216216216216217,0.05405405405405406,,0.08108108108108109,0.05405405405405406,0.2702702702702703,Cluster 1
2022-11-08,0.19094766619519093,0.05374823196605375,0.026874115983026876,0.04667609618104668,0.25884016973125884,0.2446958981612447,0.1782178217821782,Cluster 3
2022-11-09,0.17218543046357615,0.07947019867549669,0.008830022075055188,0.07431935246504782,0.27740986019131714,0.21486387049300956,0.17292126563649743,Cluster 3
2022-11-10,0.20722269991401548,0.10189165950128977,0.03009458297506449,0.052450558899398106,0.2119518486672399,0.21840068787618228,0.17798796216680998,Cluster 2
2022-11-11,0.24140625,0.08515625,0.02109375,0.04765625,0.19453125,0.219921875,0.190234375,Cluster 2
2022-11-12,0.13716690042075735,0.0906030855539972,0.01935483870967742,0.09396914446002805,0.3643758765778401,0.15876577840112202,0.13576437587657783,Cluster 4
2022-11-13,0.15409429280397022,0.12903225806451613,0.03647642679900744,0.08759305210918114,0.24491315136476427,0.20967741935483872,0.13821339950372208,Cluster 3
