date,Affection,Anger,Contempt,Depression,Fear,Happiness,Satisfaction
2022-12-22,642.0,645.0,216.0,182.0,712.0,923.0,643.0
2022-12-23,601.0,683.0,192.0,200.0,735.0,842.0,536.0
2022-12-24,543.0,456.0,148.0,168.0,533.0,723.0,510.0
2022-12-25,405.0,290.0,73.0,73.0,320.0,404.0,369.0
2022-12-26,638.0,395.0,128.0,128.0,433.0,580.0,485.0
2022-12-27,378.0,356.0,108.0,126.0,325.0,434.0,333.0
2022-12-28,642.0,408.0,92.0,115.0,472.0,602.0,457.0
2022-12-29,610.0,393.0,114.0,140.0,406.0,594.0,523.0
2022-12-30,606.0,340.0,107.0,81.0,363.0,468.0,430.0
2022-12-31,293.0,148.0,40.0,54.0,164.0,245.0,202.0
2023-01-01,264.0,151.0,35.0,56.0,171.0,289.0,218.0
2023-01-02,353.0,147.0,47.0,52.0,160.0,269.0,217.0
2023-01-03,260.0,175.0,84.0,49.0,205.0,260.0,308.0
2023-01-04,452.0,463.0,116.0,106.0,544.0,678.0,480.0
2023-01-05,528.0,329.0,123.0,161.0,423.0,546.0,488.0
2023-01-06,310.0,217.0,84.0,97.0,383.0,353.0,239.0
2023-01-07,347.0,184.0,62.0,73.0,266.0,301.0,206.0
2023-01-08,362.0,209.0,92.0,76.0,275.0,311.0,312.0
2023-01-09,403.0,166.0,50.0,65.0,264.0,286.0,297.0
2023-01-10,511.0,259.0,51.0,73.0,393.0,432.0,333.0
2023-01-11,557.0,274.0,66.0,84.0,368.0,475.0,353.0
2023-01-12,326.0,183.0,33.0,43.0,211.0,301.0,282.0
2023-01-13,109.0,69.0,16.0,32.0,131.0,90.0,94.0
2023-01-14,224.0,82.0,12.0,36.0,171.0,185.0,214.0
2023-01-15,486.0,187.0,47.0,123.0,399.0,492.0,399.0
2023-01-16,373.0,190.0,40.0,100.0,321.0,352.0,298.0
