date,viewSum,likeSum,favoriteSum,commentSum,viewAvg,likeAvg,favoriteAvg,commentAvg
2022-10-01,74842,7385,0,130,9355.25,923.125,0.0,16.25
2022-10-02,78556,1967,0,326,2805.5714285714284,70.25,0.0,11.642857142857142
2022-10-03,31264,1804,0,732,1954.0,112.75,0.0,45.75
2022-10-04,502273,7777,0,195,17938.321428571428,277.75,0.0,6.964285714285714
2022-10-05,155039,4271,0,526,4844.96875,133.46875,0.0,16.4375
2022-10-06,173944,5160,0,1954,6442.37037037037,191.11111111111111,0.0,72.37037037037037
2022-10-07,355186,20324,0,3861,4228.4047619047615,241.95238095238096,0.0,45.964285714285715
2022-10-08,37553,2914,0,708,1251.7666666666667,97.13333333333334,0.0,23.6
2022-10-09,293584,7914,0,2020,5337.890909090909,143.8909090909091,0.0,36.72727272727273
2022-10-10,119756,5948,0,1800,2303.0,114.38461538461539,0.0,34.61538461538461
2022-10-11,281698,12253,0,2048,5216.62962962963,226.90740740740742,0.0,37.925925925925924
2022-10-12,467808,8600,0,924,9746.0,179.16666666666666,0.0,19.25
2022-10-13,94119,6432,0,778,2352.975,160.8,0.0,19.45
2022-10-14,294689,15735,0,854,4830.9672131147545,257.95081967213116,0.0,14.0
2022-10-15,122713,3635,0,663,1979.241935483871,58.62903225806452,0.0,10.693548387096774
2022-10-16,384123,5987,0,907,3589.9345794392525,55.953271028037385,0.0,8.476635514018692
2022-10-17,657854,9545,0,6100,7073.698924731183,102.63440860215054,0.0,65.59139784946237
2022-10-18,280419,12083,0,2842,2861.418367346939,123.29591836734694,0.0,29.0
2022-10-19,112440,5991,0,559,1540.2739726027398,82.06849315068493,0.0,7.657534246575342
2022-10-20,303335,15696,0,909,5833.365384615385,301.84615384615387,0.0,17.48076923076923
2022-10-21,195735,8611,0,3181,2836.7391304347825,124.79710144927536,0.0,46.10144927536232
2022-10-22,511621,37384,0,5043,14617.742857142857,1068.1142857142856,0.0,144.0857142857143
2022-10-23,124599,9993,0,1307,3114.975,249.825,0.0,32.675
2022-10-24,241327,13972,0,2946,2276.669811320755,131.81132075471697,0.0,27.79245283018868
2022-10-25,49837,3813,0,512,2491.85,190.65,0.0,25.6
2022-10-31,788,0,0,4,98.5,0.0,0.0,0.5
2022-11-01,556464,6024,0,304,46372.0,502.0,0.0,25.333333333333332
2022-11-02,524,56,0,24,131.0,14.0,0.0,6.0
2022-11-03,1835652,7328,0,0,229456.5,916.0,0.0,0.0
2022-11-06,1171,67,0,21,234.2,13.4,0.0,4.2
2022-11-07,21876,529,0,32,2430.6666666666665,58.77777777777778,0.0,3.5555555555555554
2022-11-08,3545681,100615,0,16781,68186.17307692308,1934.9038461538462,0.0,322.71153846153845
2022-11-09,2966218,141007,0,15326,38522.31168831169,1831.2597402597403,0.0,199.03896103896105
2022-11-10,1790240,36061,0,11681,43664.39024390244,879.5365853658536,0.0,284.9024390243902
2022-11-11,2955227,54527,0,9786,77769.13157894737,1434.921052631579,0.0,257.5263157894737
2022-11-12,4059387,83792,0,18582,51384.645569620254,1060.6582278481012,0.0,235.21518987341773
2022-11-13,4299704,133374,0,16383,93471.82608695653,2899.4347826086955,0.0,356.1521739130435
2022-11-14,6345863,124298,0,26268,74657.21176470588,1462.3294117647058,0.0,309.0352941176471
2022-11-15,4845323,144227,0,25008,59818.8024691358,1780.5802469135801,0.0,308.74074074074076
2022-11-16,2196019,39660,0,13075,37220.661016949154,672.2033898305085,0.0,221.61016949152543
2022-11-17,3664102,45271,0,25686,33926.87037037037,419.1759259259259,0.0,237.83333333333334
2022-11-18,5235224,123434,0,31193,58822.74157303371,1386.8988764044943,0.0,350.4831460674157
2022-11-19,2622899,76186,0,14191,55806.36170212766,1620.9787234042553,0.0,301.93617021276594
2022-11-20,1652054,69510,0,13493,25416.215384615385,1069.3846153846155,0.0,207.58461538461538
2022-11-21,2243703,73625,0,17510,29139.0,956.1688311688312,0.0,227.4025974025974
2022-11-22,798168,12545,0,7900,10365.818181818182,162.92207792207793,0.0,102.59740259740259
2022-11-23,3261893,53423,0,16579,33284.62244897959,545.1326530612245,0.0,169.1734693877551
2022-11-24,2119935,61827,0,10330,35332.25,1030.45,0.0,172.16666666666666
2022-11-25,2428256,85453,0,17699,25832.510638297874,909.0744680851063,0.0,188.2872340425532
2022-11-26,851120,33637,0,11498,15198.57142857143,600.6607142857143,0.0,205.32142857142858
2022-11-27,1279926,44195,0,10108,19103.373134328358,659.6268656716418,0.0,150.86567164179104
2022-11-28,2890051,110633,0,23364,24083.758333333335,921.9416666666667,0.0,194.7
2022-11-29,1144592,25683,0,12786,17609.10769230769,395.12307692307695,0.0,196.7076923076923
2022-11-30,1400310,25431,0,10868,19448.75,353.2083333333333,0.0,150.94444444444446
2022-12-01,2754503,34984,0,11152,34867.126582278484,442.8354430379747,0.0,141.16455696202533
2022-12-02,3891588,107529,0,21242,42299.86956521739,1168.7934782608695,0.0,230.8913043478261
2022-12-03,1003168,25697,0,6663,18577.185185185186,475.8703703703704,0.0,123.38888888888889
2022-12-04,1356973,45494,0,10237,16548.451219512193,554.8048780487804,0.0,124.84146341463415
2022-12-05,1692992,64942,0,11573,20646.243902439026,791.9756097560976,0.0,141.1341463414634
2022-12-06,754367,25891,0,5527,9671.371794871795,331.93589743589746,0.0,70.85897435897436
2022-12-07,1342706,62876,0,10815,12910.634615384615,604.5769230769231,0.0,103.99038461538461
2022-12-08,1598913,50229,0,12519,21902.91780821918,688.068493150685,0.0,171.4931506849315
2022-12-09,3770872,103596,0,21054,36610.40776699029,1005.7864077669902,0.0,204.40776699029126
2022-12-10,706839,23218,0,3304,12400.684210526315,407.3333333333333,0.0,57.96491228070175
2022-12-11,2550399,65921,0,17514,34936.97260273973,903.027397260274,0.0,239.91780821917808
2022-12-12,1050112,30424,0,13233,25612.48780487805,742.0487804878048,0.0,322.7560975609756
2022-12-13,8806465,81511,0,24615,77933.3185840708,721.3362831858407,0.0,217.83185840707964
2022-12-14,5161720,82130,0,28217,52670.61224489796,838.0612244897959,0.0,287.92857142857144
2022-12-15,1554542,20246,0,10904,28787.814814814814,374.9259259259259,0.0,201.92592592592592
2022-12-16,2440570,23039,0,18391,29054.404761904763,274.2738095238095,0.0,218.9404761904762
2022-12-17,1690559,60176,0,9474,22540.786666666667,802.3466666666667,0.0,126.32
2022-12-18,1676053,56725,0,12618,21766.922077922078,736.6883116883117,0.0,163.87012987012986
2022-12-19,3965222,110754,0,20522,45059.34090909091,1258.5681818181818,0.0,233.20454545454547
2022-12-20,3802421,108455,0,16626,46370.98780487805,1322.621951219512,0.0,202.7560975609756
2022-12-21,983266,17837,0,7722,14250.231884057972,258.5072463768116,0.0,111.91304347826087
2022-12-22,3623187,53658,0,24986,27242.007518796992,403.4436090225564,0.0,187.86466165413535
2022-12-23,3346420,31677,0,17744,42359.74683544304,400.9746835443038,0.0,224.60759493670886
2022-12-24,2582618,96777,0,17493,36374.90140845071,1363.056338028169,0.0,246.38028169014083
2022-12-25,698439,16659,0,9445,9189.986842105263,219.19736842105263,0.0,124.27631578947368
2022-12-26,2020861,63852,0,18968,23228.287356321838,733.9310344827586,0.0,218.02298850574712
2022-12-27,1696881,35814,0,13505,22327.38157894737,471.2368421052632,0.0,177.69736842105263
2022-12-28,2212887,109305,0,18503,19242.49565217391,950.4782608695652,0.0,160.89565217391305
2022-12-29,1928846,73967,0,8139,22962.45238095238,880.5595238095239,0.0,96.89285714285714
2022-12-30,2006992,92494,0,17465,20479.51020408163,943.8163265306123,0.0,178.21428571428572
2022-12-31,192444,10064,0,1729,2237.720930232558,117.02325581395348,0.0,20.1046511627907
2023-01-01,914502,31859,0,11506,9940.239130434782,346.29347826086956,0.0,125.06521739130434
2023-01-02,1103355,58928,0,3967,20432.5,1091.2592592592594,0.0,73.46296296296296
2023-01-03,710854,16533,0,5780,5874.826446280992,136.63636363636363,0.0,47.768595041322314
2023-01-04,2072877,101036,0,19431,20938.151515151516,1020.5656565656566,0.0,196.27272727272728
2023-01-05,600692,22582,0,5857,8009.2266666666665,301.0933333333333,0.0,78.09333333333333
2023-01-06,756323,25281,0,7264,7342.941747572816,245.44660194174756,0.0,70.52427184466019
2023-01-07,626593,41895,0,4842,9639.892307692307,644.5384615384615,0.0,74.49230769230769
2023-01-08,1123888,53037,0,7015,11956.255319148937,564.2234042553191,0.0,74.62765957446808
