date,Affection,Anger,Contempt,Depression,Fear,Happiness,Satisfaction,phase
2021-01-01,0.4230769230769231,0.125,,0.0673076923076923,0.14423076923076922,0.15384615384615385,0.08653846153846154,Phase 1
2021-01-02,0.2767857142857143,0.16071428571428573,,0.03571428571428571,0.14285714285714285,0.25,0.13392857142857142,Phase 1
2021-01-03,0.2647058823529412,0.10294117647058823,0.029411764705882353,0.029411764705882353,0.16176470588235295,0.29411764705882354,0.11764705882352941,Phase 1
2021-01-04,0.1643835616438356,0.1095890410958904,0.0410958904109589,0.136986301369863,0.1643835616438356,0.2876712328767123,0.0958904109589041,Phase 1
2021-01-05,0.20408163265306123,0.02040816326530612,0.061224489795918366,0.04081632653061224,0.22448979591836735,0.2857142857142857,0.16326530612244897,Phase 1
2021-01-06,0.16216216216216217,0.08108108108108109,0.13513513513513514,0.08108108108108109,0.08108108108108109,0.2702702702702703,0.1891891891891892,Phase 1
2021-01-07,0.36666666666666664,0.16666666666666666,,0.06666666666666667,0.03333333333333333,0.3333333333333333,0.03333333333333333,Phase 1
2021-01-08,0.36065573770491804,0.21311475409836064,,0.06557377049180328,0.06557377049180328,0.19672131147540983,0.09836065573770492,Phase 1
2021-01-09,0.2922077922077922,0.07792207792207792,0.006493506493506494,0.01948051948051948,0.2012987012987013,0.2597402597402597,0.14285714285714285,Phase 1
2021-01-10,0.275,0.075,,0.05,0.15,0.3,0.15,Phase 1
2021-01-11,0.28888888888888886,0.13333333333333333,0.022222222222222223,0.06666666666666667,0.17777777777777778,0.3111111111111111,,Phase 1
2021-01-12,0.34375,0.03125,,,0.0625,0.34375,0.21875,Phase 1
2021-01-13,0.19337016574585636,0.06077348066298342,0.011049723756906077,0.11049723756906077,0.19337016574585636,0.3370165745856354,0.09392265193370165,Phase 2
2021-01-14,0.14,0.09,,0.06,0.21,0.32,0.18,Phase 2
2021-01-15,0.23809523809523808,0.10714285714285714,0.047619047619047616,0.05952380952380952,0.047619047619047616,0.36904761904761907,0.13095238095238096,Phase 2
2021-01-16,0.2647058823529412,0.10294117647058823,,0.11764705882352941,0.14705882352941177,0.3088235294117647,0.058823529411764705,Phase 2
2021-01-17,0.24175824175824176,0.03296703296703297,0.02197802197802198,0.07692307692307693,0.07692307692307693,0.4175824175824176,0.13186813186813187,Phase 2
2021-01-18,0.26666666666666666,0.1111111111111111,0.06666666666666667,0.1111111111111111,0.2,0.2222222222222222,0.022222222222222223,Phase 2
2021-01-19,0.1724137931034483,0.20689655172413793,,0.10344827586206896,0.13793103448275862,0.3103448275862069,0.06896551724137931,Phase 2
2021-01-20,0.2465753424657534,0.0958904109589041,0.0273972602739726,0.1780821917808219,0.1506849315068493,0.2054794520547945,0.0958904109589041,Phase 2
